,Cost ($),Emission (kg CO2)
9,412565.47096575977,4737955.914096254
0,427826.6258878965,4470797.526145056
1,426361.9517556015,4503615.752735044
2,424737.6426448936,4539872.563820044
3,423113.33353418566,4576129.374905045
4,421489.0244234778,4612386.185990044
5,419864.7153127698,4648642.997075045
6,418240.40620206186,4684899.808160043
7,416616.097091354,4721156.619245044
8,414991.787980646,4757413.430330044
9,413362.0073954229,4793783.598601356
10,,
0,407441.46803983074,4241895.91934016
1,405787.96841195883,4278346.633102208
2,403952.9856361479,4318713.394192207
3,402118.00286033703,4359080.155282207
4,400283.02008452616,4399446.916372208
5,398448.0373087153,4439813.677462207
6,396613.0545329044,4480180.438552206
7,394778.07175709336,4520547.199642208
8,392943.0889812825,4560913.960732208
9,391098.13355513907,4601496.25724686
10,,
0,435628.10172128066,4535748.013765435
1,433998.30834252515,4571750.640475634
2,432195.18095951766,4611399.546575634
3,430392.0535765101,4651048.452675632
4,428588.92619350273,4690697.358775634
5,426785.7988104953,4730346.264875634
6,424982.6714274879,4769995.170975634
7,423179.5440444804,4809644.077075634
8,421376.416661473,4849292.983175633
9,419564.40158099215,4889118.7450184375
10,,
0,402287.9007991451,4125470.703341323
1,400674.62510892155,4161588.4548944593
2,398887.34167667857,4201458.259724459
3,397100.0582444357,4241328.064554459
4,395312.7748121929,4281197.869384459
5,393525.49137995,4321067.674214458
6,391738.207947707,4360937.479044459
7,389950.92451546417,4400807.283874459
8,388163.64108322124,4440677.088704458
9,386363.72623048763,4480833.654226526
10,,
0,417511.7707859421,4357633.299140473
1,415973.1706616489,4391244.894292192
2,414259.8582654743,4428523.332347193
3,412546.5458692998,4465801.770402192
4,410833.2334731252,4503080.2084571915
5,409119.92107695073,4540358.646512192
6,407406.60868077603,4577637.084567193
7,405693.2962846015,4614915.522622192
8,403979.98388842714,4652193.960677193
9,402256.6080082016,4689706.830069595
10,,
0,428424.2871055628,4389062.879276889
1,426747.30042070546,4426911.894854995
2,424902.2456976475,4468458.195054996
3,423057.1909745893,4510004.495254995
4,421212.1362515312,4551550.795454995
5,419367.0815284732,4593097.095654995
6,417522.02680541493,4634643.395854996
7,415676.97208235675,4676189.696054996
8,413831.91735929874,4717735.996254995
9,411981.0075447785,4759402.79832309
10,,
0,404447.4756485692,4193214.085746896
1,402687.8881210084,4232457.045278794
2,400763.09841274144,4275300.554383793
3,398838.30870447453,4318144.063488794
4,396913.5189962076,4360987.572593792
5,394988.72928794083,4403831.081698793
6,393063.9395796739,4446674.590803794
7,391139.149871407,4489518.099908793
8,389214.3601631401,4532361.609013794
9,387270.9780994462,4575589.571409449
10,,
0,437246.4544567045,4502012.692684566
1,435551.17052614345,4539515.628643032
2,433702.11580983293,4580359.946243032
3,431853.0610935225,4621204.2638430325
4,430004.0063772119,4662048.581443032
5,428154.95166090154,4702892.899043033
6,426305.89694459096,4743737.216643033
7,424456.8422282805,4784581.534243031
8,422607.78751197003,4825425.851843032
9,420740.4667217727,4866670.866568427
10,,
